channel,longitude,latitude,elevation
373,18.080861,42.655525,35.83808
374,18.080826,42.655586,35.83808
375,18.080791,42.655647,35.83808
376,18.080756,42.655709,28.99574
377,18.080721,42.65577,28.99574
378,18.080686,42.655831,27.58002
379,18.080648,42.655891,27.58002
380,18.080613,42.655952,27.58002
381,18.080579,42.656013,20.141628
382,18.080545,42.656074,20.141628
383,18.080511,42.656136,20.141628
384,18.080477,42.656197,20.141628
385,18.080442,42.656258,14.656322
386,18.080404,42.656318,16.556808
387,18.080368,42.656379,16.556808
388,18.080334,42.65644,16.556808
389,18.0803,42.656502,16.556808
390,18.080266,42.656563,8.410662
391,18.08023,42.656624,8.410662
392,18.080203,42.656687,8.410662
393,18.080172,42.656749,8.410662
394,18.080127,42.656806,8.806132
395,18.08007,42.656857,8.806132
396,18.08002,42.656912,8.806132
397,18.07994,42.656939,8.806132
398,18.079858,42.656966,11.955422
399,18.079772,42.656985,11.955422
400,18.079686,42.657004,11.955422
401,18.0796,42.657022,11.955422
402,18.079513,42.657038,14.31934
403,18.079423,42.65704,14.31934
404,18.079333,42.657036,14.31934
405,18.079244,42.657029,13.524339
406,18.079155,42.657023,13.524339
407,18.079065,42.657017,13.524339
408,18.078977,42.657005,13.440855
409,18.07889,42.656989,13.440855
410,18.078802,42.656975,13.440855
411,18.078715,42.65696,14.733597
412,18.078627,42.656947,14.733597
413,18.078539,42.656934,14.733597
414,18.078451,42.65692,16.12907
415,18.078363,42.656906,16.12907
416,18.078275,42.656892,16.12907
417,18.078187,42.656877,17.276527
418,18.078099,42.656865,17.276527
419,18.07801,42.656855,17.276527
420,18.077922,42.656845,17.276527
421,18.077834,42.656831,17.217691
422,18.077746,42.656819,17.217691
423,18.077657,42.656807,17.217691
424,18.077569,42.656796,20.285917
425,18.07748,42.656785,20.285917
426,18.077391,42.656774,20.285917
427,18.077303,42.656763,21.388783
428,18.077214,42.656752,21.388783
429,18.077126,42.65674,21.388783
430,18.077037,42.656729,19.564487
431,18.076949,42.656718,19.564487
432,18.07686,42.656707,19.564487
433,18.076771,42.656702,17.466513
434,18.076681,42.656705,17.466513
435,18.076591,42.65671,17.466513
436,18.076502,42.656715,17.527704
437,18.076413,42.656724,17.527704
438,18.076324,42.656733,17.527704
439,18.076235,42.656741,18.644024
440,18.076145,42.656749,18.644024
441,18.076056,42.656756,18.644024
442,18.075967,42.656761,20.30912
443,18.075878,42.65677,20.30912
444,18.075789,42.65678,20.30912
445,18.0757,42.656789,20.30912
446,18.075611,42.656799,18.149544
447,18.075522,42.656807,21.607306
448,18.075433,42.656814,21.607306
449,18.075344,42.656823,24.064396
450,18.075255,42.656831,24.064396
451,18.075166,42.65684,24.064396
452,18.075077,42.656849,24.699821
453,18.074988,42.656857,24.699821
454,18.074898,42.656861,24.699821
455,18.074808,42.656862,24.48692
456,18.074719,42.656859,24.48692
457,18.074629,42.656853,24.48692
458,18.07454,42.656844,26.629728
459,18.074451,42.656836,26.629728
460,18.074362,42.656829,26.629728
461,18.074273,42.65682,29.109447
462,18.074183,42.656813,29.109447
463,18.074094,42.656812,29.109447
464,18.074004,42.656809,30.621433
465,18.073914,42.656806,30.621433
466,18.073825,42.656807,30.621433
467,18.073735,42.656811,34.06095
468,18.073645,42.656815,34.06095
469,18.073556,42.656819,34.06095
470,18.073466,42.656822,37.631813
471,18.073376,42.656826,37.631813
472,18.073286,42.656829,37.631813
473,18.073197,42.656834,37.631813
474,18.073107,42.656838,39.352703
475,18.073017,42.656841,39.352703
476,18.072928,42.656844,39.352703
477,18.072838,42.656847,41.225487
478,18.072748,42.656851,41.225487
479,18.072659,42.656858,41.225487
480,18.07257,42.656864,41.044666
481,18.07248,42.656871,41.044666
482,18.072391,42.656879,41.044666
483,18.072302,42.656888,42.002285
484,18.072213,42.656898,42.002285
485,18.072125,42.656911,42.002285
486,18.072038,42.656927,42.602036
487,18.071951,42.656943,42.602036
488,18.071863,42.656958,42.602036
489,18.071776,42.656972,42.409866
490,18.071688,42.656986,42.409866
491,18.0716,42.657001,42.409866
492,18.071513,42.657016,42.461155
493,18.071425,42.65703,42.461155
494,18.071337,42.657045,42.461155
495,18.07125,42.657058,41.997498
496,18.071162,42.657072,41.997498
497,18.071074,42.657087,53.062172
498,18.070986,42.657101,53.062172
499,18.0709,42.657119,52.11849
500,18.070814,42.657138,52.11849
501,18.070728,42.657158,52.11849
502,18.070642,42.657177,54.780636
503,18.070557,42.657199,54.780636
504,18.070473,42.657221,54.780636
505,18.070387,42.657242,56.34101
506,18.070303,42.657264,56.34101
507,18.070219,42.657288,56.34101
508,18.070136,42.657313,57.578808
509,18.070052,42.657336,57.578808
510,18.069967,42.657358,57.578808
511,18.069882,42.65738,70.80653
512,18.069797,42.657402,71.95257
513,18.069713,42.657424,71.95257
514,18.069629,42.657448,71.95257
515,18.069544,42.657471,74.88153
516,18.06946,42.657493,74.88153
517,18.069375,42.657516,74.88153
518,18.069289,42.657534,75.27028
519,18.069202,42.657551,75.27028
520,18.069116,42.65757,75.27028
521,18.06903,42.657589,75.27028
522,18.068944,42.657608,74.68804
523,18.068858,42.657627,74.68804
524,18.068771,42.657644,83.91018
525,18.068684,42.65766,84.10834
526,18.068596,42.657675,84.10834
527,18.068509,42.657691,84.10834
528,18.068422,42.657707,86.41338
529,18.068335,42.657724,86.41338
530,18.068248,42.657741,86.41338
531,18.068161,42.657755,88.980095
532,18.068073,42.657769,88.980095
533,18.067985,42.657784,88.980095
534,18.067899,42.657803,90.62028
535,18.067813,42.657821,90.62028
536,18.067726,42.657839,90.62028
537,18.067639,42.657854,90.62028
538,18.067552,42.65787,91.656006
539,18.067464,42.657886,91.656006
540,18.067378,42.657903,91.656006
541,18.067291,42.657921,95.87373
542,18.067205,42.657939,95.87373
543,18.067118,42.657955,95.87373
544,18.06703,42.657969,92.29938
545,18.066942,42.657983,92.29938
546,18.066854,42.657997,92.29938
547,18.066766,42.658011,88.14861
548,18.066679,42.658027,88.14861
549,18.066592,42.658044,88.14861
550,18.066506,42.658061,84.36887
551,18.066419,42.658078,84.36887
552,18.066332,42.658095,84.36887
553,18.066245,42.658111,79.783394
554,18.066158,42.658128,79.783394
555,18.066071,42.658145,79.783394
556,18.065984,42.658162,79.783394
557,18.065898,42.65818,75.94832
558,18.065815,42.658205,78.967545
559,18.065737,42.658238,78.967545
560,18.065668,42.65828,78.24583
561,18.065604,42.658327,78.24583
562,18.065544,42.658375,78.24583
563,18.065483,42.658424,78.24583
564,18.065422,42.658473,76.215645
565,18.065359,42.65852,75.28331
566,18.065296,42.658568,75.28331
567,18.065234,42.658615,75.28331
568,18.065169,42.658661,75.28331
569,18.065104,42.658707,74.09761
570,18.065035,42.658749,74.09761
571,18.064961,42.658787,69.67912
572,18.064887,42.658824,69.67912
573,18.06481,42.658859,67.89648
574,18.064731,42.658891,67.89648
575,18.064652,42.658922,67.89648
576,18.064573,42.658953,66.065414
577,18.064491,42.658981,66.065414
578,18.06441,42.659009,66.065414
579,18.064328,42.659036,60.809166
580,18.064246,42.659063,58.292667
581,18.064164,42.65909,58.292667
582,18.064082,42.659118,58.292667
583,18.064003,42.659149,56.285923
584,18.063922,42.659177,56.285923
585,18.063839,42.659203,56.285923
586,18.063756,42.659229,56.285923
587,18.063674,42.659255,54.36879
588,18.063592,42.659282,54.36879
589,18.063511,42.659311,50.733776
590,18.06343,42.65934,48.149883
591,18.06335,42.659369,48.149883
592,18.063269,42.659399,48.149883
593,18.06319,42.65943,47.033707
594,18.063112,42.659463,47.033707
595,18.063035,42.659498,47.033707
596,18.062962,42.659536,47.033707
597,18.062889,42.659574,45.630856
598,18.062816,42.659613,43.54975
599,18.062744,42.659652,43.54975
600,18.062672,42.659692,43.54975
601,18.062601,42.659733,43.04845
602,18.062533,42.659776,43.04845
603,18.062464,42.659819,43.04845
604,18.062401,42.659866,42.24672
605,18.062331,42.659907,46.051117
606,18.062266,42.659953,46.051117
607,18.062202,42.659999,46.051117
608,18.062138,42.660046,46.051117
609,18.062074,42.660093,39.57818
610,18.062009,42.660137,39.57818
611,18.061935,42.660175,39.785896
612,18.061873,42.660222,39.785896
613,18.061811,42.66027,39.785896
614,18.061748,42.660318,36.774372
615,18.061684,42.660364,36.774372
616,18.061619,42.66041,36.774372
617,18.061568,42.660464,36.000294
618,18.06152,42.66052,33.35916
619,18.061472,42.660576,33.35916
